Temp_Celcius,Synthesis_Duration_h,Scale_synthesis_ml,Precurcor_conc_mM,Capping agent concentration_mg/mL,Reducing agent quantity mL,UVVIs PEAKS nm,core size (nm),exposure dose concentration mg/mL,Exposure duration  (h),Bacteria reduction mm,Process_encoded,Steps_encoded,External_energy_encoded,Stirring_encoded,NEW_Capping agent_encoded,NEW_capping agent_Class_encoded,NEW_reducing agent_encoded,NEW_reducing agent_class_encoded,Order of reagent_CODE_encoded,treatment_encoded,shape_encoded,Method of determination_size_encoded,bacterial  Culture medium_encoded,bacterial  Species_encoded
25.0,48.0,92.0,1.0,250.0,12.0,400.0,18.0,0.5,24.0,13.66,Acinetobacter,Actinomycetes,Aspergillus,Aeromonas,Actinomycetes,Agrobacterium tumefaciens,Acinetobacter,Aeromonas,Agrobacterium tumefaciens,Actinomycetes,Calcateuticals anitratus,Candida,Aeromonas,Klebsiella
60.0,4.0,11.0,5.0,10.0,1.0,430.0,56.0,0.5,24.0,14.78,Acinetobacter,Actinomycetes,Actinomycetes,Agrobacterium tumefaciens,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Calcateuticals anitratus,Campylobacter,Bacillus,Acinetobacter,Streptococcus
25.0,3.0,125.0,3.0,50.0,5.0,430.0,50.0,0.031,24.0,8.15,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Acinetobacter,Campylobacter,Aeromonas,Aspergillus,Escherichia coli
25.0,3.0,125.0,3.0,50.0,5.0,430.0,50.0,1.0,24.0,9.84,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Acinetobacter,Campylobacter,Aeromonas,Aspergillus,Escherichia coli
25.0,12.0,10.0,1.5,100.0,1.0,420.0,27.17,0.15,24.0,17.15,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Aspergillus,Campylobacter,Calcateuticals anitratus,Calcateuticals anitratus,Staphylococcus
25.0,4.0,70.0,7.0,91.0,10.0,430.0,25.0,0.045,24.0,8.8,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Bacillus,Aspergillus,Enterococcus
25.0,4.0,80.0,7.0,91.0,9.0,430.0,25.0,0.0225,24.0,12.4,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Bacillus,Aspergillus,Pseudomonas
25.0,24.0,164.0,1.1,15.24,100.0,406.0,9.0,0.11628,24.0,11.6,Bacillus,Actinomycetes,Aspergillus,Aspergillus,Bacillus,Agrobacterium tumefaciens,Aspergillus,Aeromonas,Aspergillus,Aeromonas,Campylobacter,Calcateuticals anitratus,Calcateuticals anitratus,Staphylococcus
25.0,3.0,150.0,1.0,100.0,15.0,450.0,48.0,10.0,24.0,15.6,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Aspergillus,Calcateuticals anitratus,Bacillus,Aspergillus,Escherichia coli
80.0,2.0,20.0,1.5,40.0,10.0,420.0,10.0,0.08,24.0,6.58,Aspergillus,Actinomycetes,Actinomycetes,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Calcateuticals anitratus,Aspergillus,Escherichia coli
80.0,2.0,20.0,1.5,40.0,10.0,420.0,10.0,0.04,24.0,6.58,Aspergillus,Actinomycetes,Actinomycetes,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Calcateuticals anitratus,Aspergillus,Escherichia coli
80.0,2.0,20.0,1.5,40.0,10.0,420.0,10.0,0.02,24.0,6.58,Aspergillus,Actinomycetes,Actinomycetes,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Calcateuticals anitratus,Aspergillus,Escherichia coli
80.0,2.0,20.0,1.5,40.0,10.0,420.0,10.0,0.005,24.0,6.58,Aspergillus,Actinomycetes,Actinomycetes,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Calcateuticals anitratus,Aspergillus,Escherichia coli
25.0,12.0,10.0,1.5,100.0,1.0,420.0,27.17,0.15,24.0,16.67,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Aspergillus,Campylobacter,Calcateuticals anitratus,Calcateuticals anitratus,Pseudomonas
25.0,12.0,10.0,1.5,100.0,1.0,420.0,27.17,0.15,24.0,21.98,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Aspergillus,Campylobacter,Calcateuticals anitratus,Calcateuticals anitratus,Staphylococcus
25.0,48.0,94.0,2.0,250.0,14.0,400.0,18.0,0.5,24.0,16.54,Acinetobacter,Actinomycetes,Aspergillus,Aeromonas,Actinomycetes,Agrobacterium tumefaciens,Acinetobacter,Aeromonas,Agrobacterium tumefaciens,Actinomycetes,Calcateuticals anitratus,Candida,Aeromonas,Klebsiella
24.0,2.5,95.0,1.0,100.0,7.0,430.0,17.4,1.0,24.0,11.6,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Campylobacter,Campylobacter,Calcateuticals anitratus,Aspergillus,Staphylococcus
24.0,2.5,100.0,1.0,100.0,11.0,430.0,17.4,1.0,24.0,12.6,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Campylobacter,Campylobacter,Calcateuticals anitratus,Aspergillus,Escherichia coli
60.0,48.0,200.0,10.0,100.0,20.0,445.0,40.45,0.25,24.0,10.0,Aspergillus,Actinomycetes,Actinomycetes,Acinetobacter,Agrobacterium tumefaciens,Agrobacterium tumefaciens,Actinomycetes,Aeromonas,Actinomycetes,Campylobacter,Candida,Bacillus,Aspergillus,Staphylococcus
60.0,48.0,200.0,10.0,100.0,20.0,445.0,40.45,0.75,24.0,12.0,Aspergillus,Actinomycetes,Actinomycetes,Acinetobacter,Agrobacterium tumefaciens,Agrobacterium tumefaciens,Actinomycetes,Aeromonas,Actinomycetes,Campylobacter,Candida,Bacillus,Aspergillus,Staphylococcus
60.0,48.0,200.0,10.0,100.0,20.0,445.0,40.45,0.25,24.0,6.5,Aspergillus,Actinomycetes,Actinomycetes,Acinetobacter,Agrobacterium tumefaciens,Agrobacterium tumefaciens,Actinomycetes,Aeromonas,Actinomycetes,Campylobacter,Candida,Bacillus,Aspergillus,Bacillus
60.0,48.0,200.0,10.0,100.0,20.0,445.0,40.45,0.5,24.0,9.5,Aspergillus,Actinomycetes,Actinomycetes,Acinetobacter,Agrobacterium tumefaciens,Agrobacterium tumefaciens,Actinomycetes,Aeromonas,Actinomycetes,Campylobacter,Candida,Bacillus,Aspergillus,Pseudomonas
60.0,48.0,200.0,10.0,100.0,20.0,445.0,40.45,0.75,24.0,11.5,Aspergillus,Actinomycetes,Actinomycetes,Acinetobacter,Agrobacterium tumefaciens,Agrobacterium tumefaciens,Actinomycetes,Aeromonas,Actinomycetes,Campylobacter,Candida,Bacillus,Aspergillus,Pseudomonas
60.0,48.0,200.0,10.0,100.0,20.0,445.0,40.45,0.25,24.0,7.0,Aspergillus,Actinomycetes,Actinomycetes,Acinetobacter,Agrobacterium tumefaciens,Agrobacterium tumefaciens,Actinomycetes,Aeromonas,Actinomycetes,Campylobacter,Candida,Bacillus,Aspergillus,Escherichia coli
60.0,48.0,200.0,10.0,100.0,20.0,445.0,40.45,0.25,24.0,6.0,Aspergillus,Actinomycetes,Actinomycetes,Acinetobacter,Agrobacterium tumefaciens,Agrobacterium tumefaciens,Actinomycetes,Aeromonas,Actinomycetes,Campylobacter,Candida,Bacillus,Aspergillus,Salmonella
60.0,48.0,200.0,10.0,100.0,20.0,445.0,40.45,0.5,24.0,7.5,Aspergillus,Actinomycetes,Actinomycetes,Acinetobacter,Agrobacterium tumefaciens,Agrobacterium tumefaciens,Actinomycetes,Aeromonas,Actinomycetes,Campylobacter,Candida,Bacillus,Aspergillus,Salmonella
60.0,48.0,200.0,10.0,100.0,20.0,445.0,40.45,0.75,24.0,9.5,Aspergillus,Actinomycetes,Actinomycetes,Acinetobacter,Agrobacterium tumefaciens,Agrobacterium tumefaciens,Actinomycetes,Aeromonas,Actinomycetes,Campylobacter,Candida,Bacillus,Aspergillus,Salmonella
60.0,48.0,200.0,10.0,100.0,20.0,445.0,40.45,1.0,24.0,11.0,Aspergillus,Actinomycetes,Actinomycetes,Acinetobacter,Agrobacterium tumefaciens,Agrobacterium tumefaciens,Actinomycetes,Aeromonas,Actinomycetes,Campylobacter,Candida,Bacillus,Aspergillus,Salmonella
25.0,4.0,70.0,7.0,91.0,10.0,430.0,25.0,0.09,24.0,10.0,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Bacillus,Aspergillus,Enterococcus
25.0,4.0,80.0,7.0,91.0,9.0,430.0,25.0,0.01125,24.0,10.2,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Bacillus,Aspergillus,Pseudomonas
25.0,4.0,80.0,7.0,91.0,9.0,430.0,25.0,0.01125,24.0,5.9,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Bacillus,Aspergillus,Pseudomonas
25.0,4.0,62.0,7.0,91.0,10.0,430.0,25.0,0.09,24.0,14.6,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Bacillus,Aspergillus,Acinetobacter
25.0,4.0,62.0,7.0,91.0,10.0,430.0,25.0,0.045,24.0,13.4,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Bacillus,Aspergillus,Acinetobacter
25.0,4.0,82.0,7.0,91.0,9.0,430.0,25.0,0.0225,24.0,9.9,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Bacillus,Aspergillus,Acinetobacter
25.0,4.0,62.0,7.0,91.0,10.0,430.0,25.0,0.045,24.0,12.9,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Bacillus,Aspergillus,Acinetobacter
25.0,4.0,82.0,7.0,91.0,9.0,430.0,25.0,0.01125,24.0,10.0,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Bacillus,Aspergillus,Acinetobacter
25.0,24.0,139.0,1.1,20.119999999999997,100.0,406.0,9.0,0.11628,24.0,8.5,Bacillus,Actinomycetes,Aspergillus,Aspergillus,Bacillus,Agrobacterium tumefaciens,Aspergillus,Aeromonas,Aspergillus,Aeromonas,Campylobacter,Calcateuticals anitratus,Calcateuticals anitratus,Pseudomonas
25.0,24.0,86.0,1.1,20.119999999999997,100.0,405.0,14.0,0.11272,24.0,9.5,Bacillus,Actinomycetes,Aspergillus,Aspergillus,Bacillus,Agrobacterium tumefaciens,Aspergillus,Aeromonas,Aspergillus,Aeromonas,Campylobacter,Calcateuticals anitratus,Calcateuticals anitratus,Escherichia coli
25.0,24.0,142.0,6.0,0.08,44.0,418.0,24.0,0.62133,24.0,33.5,Bacillus,Actinomycetes,Aspergillus,Aspergillus,Bacillus,Agrobacterium tumefaciens,Aspergillus,Aeromonas,Aspergillus,Aeromonas,Campylobacter,Calcateuticals anitratus,Calcateuticals anitratus,Staphylococcus
25.0,24.0,162.0,6.0,0.08,8.0,412.0,30.0,0.59544,24.0,25.5,Bacillus,Actinomycetes,Aspergillus,Aspergillus,Bacillus,Agrobacterium tumefaciens,Aspergillus,Aeromonas,Aspergillus,Aeromonas,Campylobacter,Calcateuticals anitratus,Calcateuticals anitratus,Escherichia coli
25.0,24.0,124.0,6.0,0.08,8.0,412.0,30.0,0.59544,24.0,28.5,Bacillus,Actinomycetes,Aspergillus,Aspergillus,Bacillus,Agrobacterium tumefaciens,Aspergillus,Aeromonas,Aspergillus,Aeromonas,Campylobacter,Calcateuticals anitratus,Calcateuticals anitratus,Staphylococcus
25.0,12.0,10.0,1.5,100.0,1.0,420.0,27.17,0.15,24.0,8.61,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Aspergillus,Campylobacter,Calcateuticals anitratus,Calcateuticals anitratus,Escherichia coli
25.0,12.0,10.0,1.5,100.0,1.0,420.0,27.17,0.15,24.0,21.59,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Aspergillus,Campylobacter,Calcateuticals anitratus,Calcateuticals anitratus,Escherichia coli
60.0,48.0,200.0,10.0,100.0,20.0,445.0,40.45,1.0,24.0,14.59,Aspergillus,Actinomycetes,Actinomycetes,Acinetobacter,Agrobacterium tumefaciens,Agrobacterium tumefaciens,Actinomycetes,Aeromonas,Actinomycetes,Campylobacter,Candida,Bacillus,Aspergillus,Staphylococcus
60.0,48.0,200.0,10.0,100.0,20.0,445.0,40.45,0.75,24.0,10.09,Aspergillus,Actinomycetes,Actinomycetes,Acinetobacter,Agrobacterium tumefaciens,Agrobacterium tumefaciens,Actinomycetes,Aeromonas,Actinomycetes,Campylobacter,Candida,Bacillus,Aspergillus,Bacillus
60.0,48.0,200.0,10.0,100.0,20.0,445.0,40.45,1.0,24.0,12.09,Aspergillus,Actinomycetes,Actinomycetes,Acinetobacter,Agrobacterium tumefaciens,Agrobacterium tumefaciens,Actinomycetes,Aeromonas,Actinomycetes,Campylobacter,Candida,Bacillus,Aspergillus,Escherichia coli
25.0,4.0,80.0,7.0,91.0,9.0,430.0,25.0,0.045,24.0,11.1,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Bacillus,Aspergillus,Pseudomonas
25.0,24.0,146.0,1.1,20.119999999999997,100.0,406.0,9.0,0.11628,24.0,10.4,Bacillus,Actinomycetes,Aspergillus,Aspergillus,Bacillus,Agrobacterium tumefaciens,Aspergillus,Aeromonas,Aspergillus,Aeromonas,Campylobacter,Calcateuticals anitratus,Calcateuticals anitratus,Staphylococcus
25.0,24.0,86.0,1.1,25.0,100.0,405.0,14.0,0.11272,24.0,10.4,Bacillus,Actinomycetes,Aspergillus,Aspergillus,Bacillus,Agrobacterium tumefaciens,Aspergillus,Aeromonas,Aspergillus,Aeromonas,Campylobacter,Calcateuticals anitratus,Calcateuticals anitratus,Staphylococcus
25.0,24.0,124.0,6.0,0.08,12.0,412.0,30.0,0.59544,24.0,18.4,Bacillus,Actinomycetes,Aspergillus,Aspergillus,Bacillus,Agrobacterium tumefaciens,Aspergillus,Aeromonas,Aspergillus,Aeromonas,Campylobacter,Calcateuticals anitratus,Calcateuticals anitratus,Pseudomonas
25.0,48.0,106.0,2.0,250.0,11.0,408.0,19.4,0.5,24.0,15.37,Acinetobacter,Actinomycetes,Aspergillus,Aeromonas,Actinomycetes,Agrobacterium tumefaciens,Acinetobacter,Aeromonas,Agrobacterium tumefaciens,Actinomycetes,Calcateuticals anitratus,Candida,Aeromonas,Acinetobacter
25.0,12.0,10.0,1.5,100.0,1.0,420.0,27.17,0.15,24.0,20.54,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Aspergillus,Campylobacter,Calcateuticals anitratus,Calcateuticals anitratus,Pseudomonas
25.0,12.0,10.0,1.5,100.0,1.0,420.0,27.17,0.15,24.0,28.51,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Aspergillus,Campylobacter,Calcateuticals anitratus,Calcateuticals anitratus,Pseudomonas
25.0,24.0,100.0,1.0,15.0204,100.0,440.0,22.8,306.0002,24.0,15.31,Aeromonas,Actinomycetes,Aspergillus,Aeromonas,Calcateuticals anitratus,Agrobacterium tumefaciens,Bacillus,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Calcateuticals anitratus,Candida,Acinetobacter,Staphylococcus
24.0,2.5,100.0,1.0,100.0,12.2,430.0,17.4,0.5,24.0,5.4,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Campylobacter,Campylobacter,Calcateuticals anitratus,Aspergillus,Escherichia coli
25.0,4.0,110.0,7.0,91.0,6.0,430.0,25.0,0.18,24.0,17.7,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Bacillus,Aspergillus,Pseudomonas
25.0,4.0,80.0,7.0,91.0,9.0,430.0,25.0,0.045,24.0,14.5,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Bacillus,Aspergillus,Pseudomonas
25.0,4.0,82.0,7.0,91.0,9.0,430.0,25.0,0.01125,24.0,7.9,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Bacillus,Aspergillus,Acinetobacter
25.0,4.0,100.0,7.0,91.0,10.0,430.0,25.0,0.18,24.0,16.2,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Bacillus,Aspergillus,Acinetobacter
25.0,24.0,162.0,6.0,0.08,45.0,418.0,24.0,0.62133,24.0,31.3,Bacillus,Actinomycetes,Aspergillus,Aspergillus,Bacillus,Agrobacterium tumefaciens,Aspergillus,Aeromonas,Aspergillus,Aeromonas,Campylobacter,Calcateuticals anitratus,Calcateuticals anitratus,Escherichia coli
60.0,48.0,200.0,10.0,100.0,20.0,445.0,40.45,1.0,24.0,11.91,Aspergillus,Actinomycetes,Actinomycetes,Acinetobacter,Agrobacterium tumefaciens,Agrobacterium tumefaciens,Actinomycetes,Aeromonas,Actinomycetes,Campylobacter,Candida,Bacillus,Aspergillus,Bacillus
60.0,48.0,200.0,10.0,100.0,20.0,445.0,40.45,1.0,24.0,12.57,Aspergillus,Actinomycetes,Actinomycetes,Acinetobacter,Agrobacterium tumefaciens,Agrobacterium tumefaciens,Actinomycetes,Aeromonas,Actinomycetes,Campylobacter,Candida,Bacillus,Aspergillus,Pseudomonas
25.0,4.0,70.0,7.0,91.0,10.0,430.0,25.0,0.36,24.0,11.5,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Bacillus,Aspergillus,Enterococcus
25.0,4.0,110.0,7.0,91.0,6.0,430.0,25.0,0.09,24.0,16.7,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Bacillus,Aspergillus,Pseudomonas
25.0,4.0,80.0,7.0,91.0,9.0,430.0,25.0,0.18,24.0,14.3,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Bacillus,Aspergillus,Pseudomonas
25.0,4.0,62.0,7.0,91.0,10.0,430.0,25.0,0.09,24.0,14.9,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Bacillus,Aspergillus,Acinetobacter
25.0,48.0,106.0,4.0,250.0,11.0,408.0,19.4,0.5,24.0,17.15,Acinetobacter,Actinomycetes,Aspergillus,Aeromonas,Actinomycetes,Agrobacterium tumefaciens,Acinetobacter,Aeromonas,Agrobacterium tumefaciens,Actinomycetes,Calcateuticals anitratus,Candida,Aeromonas,Acinetobacter
100.0,2.0,20.0,1.5,24.4,10.0,420.0,10.0,0.08,24.0,11.15,Aspergillus,Actinomycetes,Actinomycetes,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Calcateuticals anitratus,Aspergillus,Bacillus
100.0,2.0,20.0,1.5,24.4,10.0,420.0,10.0,0.04,24.0,11.15,Aspergillus,Actinomycetes,Actinomycetes,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Calcateuticals anitratus,Aspergillus,Bacillus
100.0,2.0,20.0,1.5,24.4,10.0,420.0,10.0,0.02,24.0,11.15,Aspergillus,Actinomycetes,Actinomycetes,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Calcateuticals anitratus,Aspergillus,Bacillus
100.0,2.0,20.0,1.5,24.4,10.0,420.0,10.0,0.005,24.0,11.15,Aspergillus,Actinomycetes,Actinomycetes,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Calcateuticals anitratus,Aspergillus,Bacillus
25.0,4.0,70.0,7.0,91.0,10.0,430.0,25.0,0.36,24.0,11.1,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Bacillus,Aspergillus,Enterococcus
25.0,4.0,70.0,7.0,91.0,10.0,430.0,25.0,0.18,24.0,10.4,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Bacillus,Aspergillus,Enterococcus
25.0,48.0,90.0,2.0,250.0,10.0,400.0,18.0,0.5,24.0,19.08,Acinetobacter,Actinomycetes,Aspergillus,Aeromonas,Actinomycetes,Agrobacterium tumefaciens,Acinetobacter,Aeromonas,Agrobacterium tumefaciens,Actinomycetes,Calcateuticals anitratus,Candida,Aeromonas,Pseudomonas
60.0,4.0,11.0,5.0,10.0,1.0,430.0,56.0,0.5,24.0,12.24,Acinetobacter,Actinomycetes,Actinomycetes,Agrobacterium tumefaciens,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Calcateuticals anitratus,Campylobacter,Bacillus,Acinetobacter,Providencia stuartii
25.0,24.0,164.0,1.1,25.0,100.0,406.0,9.0,0.11628,24.0,8.0,Bacillus,Actinomycetes,Aspergillus,Aspergillus,Bacillus,Agrobacterium tumefaciens,Aspergillus,Aeromonas,Aspergillus,Aeromonas,Campylobacter,Calcateuticals anitratus,Calcateuticals anitratus,Escherichia coli
25.0,24.0,86.0,1.1,25.0,100.0,405.0,14.0,0.11272,24.0,10.0,Bacillus,Actinomycetes,Aspergillus,Aspergillus,Bacillus,Agrobacterium tumefaciens,Aspergillus,Aeromonas,Aspergillus,Aeromonas,Campylobacter,Calcateuticals anitratus,Calcateuticals anitratus,Staphylococcus
25.0,24.0,162.0,6.0,0.08,44.0,418.0,24.0,0.62133,24.0,28.0,Bacillus,Actinomycetes,Aspergillus,Aspergillus,Bacillus,Agrobacterium tumefaciens,Aspergillus,Aeromonas,Aspergillus,Aeromonas,Campylobacter,Calcateuticals anitratus,Calcateuticals anitratus,Pseudomonas
25.0,24.0,124.0,6.0,0.08,27.0,412.0,30.0,0.59544,24.0,30.0,Bacillus,Actinomycetes,Aspergillus,Aspergillus,Bacillus,Agrobacterium tumefaciens,Aspergillus,Aeromonas,Aspergillus,Aeromonas,Campylobacter,Calcateuticals anitratus,Calcateuticals anitratus,Staphylococcus
25.0,3.0,150.0,1.0,100.0,49.0,450.0,48.0,10.0,24.0,17.9,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Aspergillus,Calcateuticals anitratus,Bacillus,Aspergillus,Salmonella
25.0,4.0,100.0,7.0,91.0,10.0,430.0,25.0,0.36,24.0,16.5,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Bacillus,Aspergillus,Acinetobacter
80.0,2.0,20.0,1.5,40.0,10.0,420.0,10.0,0.08,24.0,15.8,Aspergillus,Actinomycetes,Actinomycetes,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Calcateuticals anitratus,Aspergillus,Staphylococcus
80.0,2.0,20.0,1.5,40.0,10.0,420.0,10.0,0.04,24.0,15.8,Aspergillus,Actinomycetes,Actinomycetes,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Calcateuticals anitratus,Aspergillus,Staphylococcus
80.0,2.0,20.0,1.5,40.0,10.0,420.0,10.0,0.02,24.0,15.8,Aspergillus,Actinomycetes,Actinomycetes,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Calcateuticals anitratus,Aspergillus,Staphylococcus
80.0,2.0,20.0,1.5,40.0,10.0,420.0,10.0,0.005,24.0,15.8,Aspergillus,Actinomycetes,Actinomycetes,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Calcateuticals anitratus,Aspergillus,Staphylococcus
25.0,3.0,125.0,1.0,100.0,49.0,450.0,48.0,10.0,24.0,16.8,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Aspergillus,Calcateuticals anitratus,Bacillus,Aspergillus,Streptococcus
